Clue	Name	Artist	Player 1 Points	Player 2 Points	Player 3 Points
1	Surrender	Cheap Trick
2	Surrender	Elvis Presley
3	Sir Duke	Stevie Wonder
4	The Blue Danube, Op. 314	Johann Strauss II
5	Pomp and Circumstance, Op. 39: No. 1, March in D Major	Edward Elgar
6	Il barbiere di Siviglia: Overture	Gioachino Rossini
7	Highway Star	Deep Purple
8	My Sharona	The Knack
9	SOS	ABBA
10	SOS	Rihanna
11	Rock the Casbah - Remastered	The Clash
12	The Four Seasons - Summer in G Minor, RV. 315: III. Presto	Antonio Vivaldi
13	Die Walkürie, WWV 86b, Act III: Ride of the Valkyries	Richard Wagner
14	Come Together - Remastered 2009	The Beatles
15	My Generation - Stereo Version	The Who
16	American Woman	The Guess Who
17	Money	Pink Floyd
18	New Orleans Is Sinking	The Tragically Hip
19	Crazy Train - 2002 Version	Ozzy Osbourne
20	Shining Star	Earth, Wind & Fire
21	Jump - 2015 Remaster	Van Halen
22	Jump (For My Love)	The Pointer Sisters
23	Let's Get It On	Marvin Gaye
24	Blue Orchid	The White Stripes
25	China Grove	The Doobie Brothers
26	Symphony No. 9 in D Minor, Op. 125 "Choral": IV. Presto "Ode to Joy"	Ludwig van Beethoven
27	(Don't Fear) The Reaper	Blue Öyster Cult
28	Good Vibrations - Remastered 2001	The Beach Boys
29	Hello	Lionel Richie
30	Hello	Adele
31	I Want You Back	The Jackson 5
32	Basket Case	Green Day
33	Carmina Burana: O Fortuna	Carl Orff
34	Paranoid - 2012 - Remaster	Black Sabbath
35	Stronger	Kanye West
36	Stronger	Britney Spears
37	Photograph	Nickelback
38	Photograph	Def Leppard
39	Paint It, Black	The Rolling Stones
40	Pretty Fly (For A White Guy)	The Offspring
