05pWIVxPyJhwY9oW01Z9Bv	Secret Agent Man	The Go Getters	43	7	Blue Velvet
6tnADR5WJUtm6VnF6hd72q	Just The Two Of Us - Dr. Evil Mix	Dr. Evil	10	6	Blue Velvet
3aSxNKhVCA1acwnDK6CBbd	Soul Bossa Nova	Quincy Jones	16	7	Blue Velvet
4EzUzjCuvdhgbEKNasPo4M	Gee Baby, Ain't I Good to You	Etta Jones	11	9	Yellow Zoot
1z1m5WqzxzjRy4VGJMK2ft	Hey Pachuco!	Royal Crown Revue	28	9	Yellow Zoot
6SPlMB3xv7SWPGcn6Z4FIn	Cuban Pete [In the Style of "Jim Carrey"]	Done Again	15	8	Yellow Zoot
0mD8e2VujzpdfIad5S7GLW	Royal Pain	Eels	44	9	Marsh Green
1hy6Dic0L5SU1XqjhYY1TR	Accidentally In Love	Counting Crows	106	9	Marsh Green
2t0NfhRIiib6zlCw2XlHoq	All Star	Smash Mouth	73	7	Marsh Green
2id8E4WvczfKHB4LHI7Np3	Edge of Seventeen	Stevie Nicks	8	9	Black Jack
7nemcVsXVFZF01iqpIIo2Y	It's a Long Way to the Top (If You Wanna Rock 'N' Roll)	AC/DC	77	8	Black Jack
2iBILsKYmDGzmpnMfkeyPt	School of Rock (From "School of Rock")	The Soundtrack Studio Stars	66	8	Black Jack
5UnqU47OSB8LBahj0jtjrR	Another Way to Die	Jack White	116	8	Blue Eyes
6VObnIkLVruX4UVyxWhlqm	Skyfall	Adele	86	9	Blue Eyes
4auJCAjXyETAt5KxtWXrVd	You Know My Name	Chris Cornell	59	9	Blue Eyes
5zBcCuhVgll3iM4aJcaujN	You Never Can Tell	Chuck Berry	45	6	Royale Orange
4qxCDr5DquZsfaK7lvnY9G	Jungle Boogie	Kool & The Gang	33	8	Royale Orange
2csVtq15gaThr54AiwC8mU	Misirlou - From "Pulp Fiction"	Dick Dale and his Del-Tones	0	9	Royale Orange
